chunking_method,retrieval_type,bias_config,pass_at_1,pass_at_2,pass_at_3,pass_at_4,pass_at_5,pass_at_10,pass_at_20,avg_retrieval_time,peak_memory_mb
contextual_fixed_c512_o100,contextual_rag,diverse,0.24,0.3,0.31,0.32,0.52,0.65,0.65,0.9924,0.0
contextual_fixed_c512_o100,contextual_rag,healthify_focused,0.23,0.295,0.315,0.325,0.33,0.645,0.645,0.997,0.0
sentence_t768_o1,contextual_rag,healthify_focused,0.23,0.29,0.315,0.32,0.335,0.58,0.58,0.4919,0.0
structured_agent_tinfoil_medical,pure_rag,healthify_focused,0.24,0.29,0.32,0.355,0.385,0.73,0.73,0.0019,202.8
structured_agent_tinfoil_medical,pure_rag,diverse,0.24,0.29,0.32,0.355,0.59,0.73,0.73,0.002,0.0
fixed_c1024_o150,contextual_rag,healthify_focused,0.235,0.28,0.3,0.305,0.32,0.58,0.58,0.4296,0.0
structured_agent_tinfoil_medical,contextual_rag,healthify_focused,0.22,0.28,0.325,0.35,0.39,0.75,0.75,0.0333,6.1
contextual_fixed_c512_o100,pure_rag,healthify_focused,0.215,0.275,0.29,0.31,0.32,0.6,0.6,0.0046,2474.0
contextual_fixed_c512_o100,pure_rag,diverse,0.215,0.275,0.29,0.31,0.47,0.62,0.62,0.0037,54.4
contextual_sentence_c1024_o2,contextual_rag,diverse,0.24,0.275,0.3,0.31,0.485,0.625,0.625,0.5238,0.3
