chunking_method,retrieval_type,bias_config,pass_at_1,pass_at_2,pass_at_3,pass_at_4,pass_at_5,pass_at_10,pass_at_20,avg_retrieval_time,peak_memory_mb
structured_agent_tinfoil_medical,contextual_rag,diverse,0.24,0.275,0.32,0.355,0.595,0.77,0.77,0.0343,0.5
structured_agent_tinfoil_medical,pure_rag,diverse,0.24,0.29,0.32,0.355,0.59,0.73,0.73,0.002,0.0
contextual_sentence_c1024_o2_tinfoil,contextual_rag,diverse,0.23,0.265,0.29,0.305,0.525,0.635,0.635,0.4969,0.0
contextual_fixed_c512_o100,contextual_rag,diverse,0.24,0.3,0.31,0.32,0.52,0.65,0.65,0.9924,0.0
sentence_t1024_o2,contextual_rag,diverse,0.235,0.27,0.285,0.31,0.52,0.645,0.645,0.4218,0.4
fixed_c1024_o150,contextual_rag,diverse,0.245,0.275,0.29,0.3,0.495,0.625,0.625,0.4344,1.4
structured_agent_qwen3_4b_medical,contextual_rag,diverse,0.205,0.265,0.32,0.33,0.495,0.645,0.645,0.0286,6.8
contextual_sentence_c1024_o2,contextual_rag,diverse,0.24,0.275,0.3,0.31,0.485,0.625,0.625,0.5238,0.3
fixed_c384_o50,contextual_rag,diverse,0.2,0.24,0.28,0.3,0.485,0.615,0.615,0.9896,22.4
sentence_t1024_o3,contextual_rag,diverse,0.22,0.25,0.27,0.3,0.485,0.615,0.615,0.4692,540.5
